value	width	height
^{-E}	1170	338
^{-F}	1170	338
^{-G}	1170	338
^{-H}	1245	338
^{-I}	870	338
^{-J}	945	338
^{-K}	1245	338
^{-L}	1095	338
^{-M}	1320	338
^{-N}	1245	338
^{-O}	1170	338
^{-P}	1095	338
^{-Q}	1170	338
^{-R}	1170	338
^{-S}	1095	338
^{-T}	1245	338
^{-U}	1170	338
^{-V}	1245	338
^{-W}	1395	338
^{-X}	1170	338
^{-Y}	1170	338
^{-Z}	1095	338
{1} over {a}	1100	2580
{1} over {b}	1100	2580
{1} over {c}	1100	2580
{1} over {d}	1100	2580
{1} over {e}	1100	2580
{1} over {f}	1100	2580
{1} over {g}	1100	2580
{1} over {h}	1100	2580
{1} over {i}	1100	2580
{1} over {j}	1100	2580
{1} over {k}	1100	2580
{1} over {l}	1100	2580
{1} over {m}	1292	2580
{1} over {n}	1100	2580
{1} over {o}	1100	2580
{1} over {p}	1100	2580
{1} over {q}	1100	2580
{1} over {r}	1100	2580
{1} over {s}	1100	2580
{1} over {t}	1100	2580
{1} over {u}	1100	2580
{1} over {v}	1100	2580
{1} over {w}	1225	2580
{1} over {x}	1100	2580
{1} over {y}	1100	2580
{1} over {z}	1100	2580
{1} over {A}	1375	2580
{1} over {B}	1300	2580
{1} over {C}	1225	2580
{1} over {D}	1300	2580
{1} over {E}	1225	2580
{1} over {F}	1225	2580
{1} over {G}	1300	2580
{1} over {H}	1375	2580
{1} over {I}	1100	2580
{1} over {J}	1100	2580
{1} over {K}	1375	2580
{1} over {L}	1225	2580
{1} over {M}	1525	2580
{1} over {N}	1375	2580
{1} over {O}	1300	2580
{1} over {P}	1225	2580
{1} over {Q}	1300	2580
{1} over {R}	1300	2580
{1} over {S}	1150	2580
{1} over {T}	1375	2580
{1} over {U}	1300	2580
{1} over {V}	1375	2580
{1} over {W}	1600	2580
{1} over {X}	1300	2580
{1} over {Y}	1300	2580
{1} over {Z}	1150	2580
{1} over {a ^{2}}	1359	2768
{1} over {b ^{2}}	1292	2768
{1} over {c ^{2}}	1292	2768
{1} over {d ^{2}}	1427	2768
{1} over {e ^{2}}	1292	2768
{1} over {f ^{2}}	1427	2768
{1} over {g ^{2}}	1292	2768
{1} over {h ^{2}}	1359	2768
{1} over {i ^{2}}	1224	2768
{1} over {j ^{2}}	1292	2768
{1} over {k ^{2}}	1359	2768
{1} over {l ^{2}}	1157	2768
{1} over {m ^{2}}	1629	2768
{1} over {n ^{2}}	1427	2768
{1} over {o ^{2}}	1292	2768
{1} over {p ^{2}}	1359	2768
{1} over {q ^{2}}	1292	2768
{1} over {r ^{2}}	1292	2768
{1} over {s ^{2}}	1292	2768
{1} over {t ^{2}}	1224	2768
{1} over {u ^{2}}	1427	2768
{1} over {v ^{2}}	1292	2768
{1} over {w ^{2}}	1562	2768
{1} over {x ^{2}}	1427	2768
{1} over {y ^{2}}	1359	2768
{1} over {z ^{2}}	1292	2768
{1} over {A ^{2}}	1877	2768
{1} over {B ^{2}}	1802	2768
{1} over {C ^{2}}	1727	2768
{1} over {D ^{2}}	1802	2768
{1} over {E ^{2}}	1727	2768
{1} over {F ^{2}}	1727	2768
{1} over {G ^{2}}	1802	2768
{1} over {H ^{2}}	1877	2768
{1} over {I ^{2}}	1427	2768
{1} over {J ^{2}}	1502	2768
{1} over {K ^{2}}	1877	2768
{1} over {L ^{2}}	1727	2768
{1} over {M ^{2}}	2027	2768
{1} over {N ^{2}}	1877	2768
{1} over {O ^{2}}	1802	2768
{1} over {P ^{2}}	1727	2768
{1} over {Q ^{2}}	1802	2768
{1} over {R ^{2}}	1802	2768
{1} over {S ^{2}}	1652	2768
{1} over {T ^{2}}	1877	2768
{1} over {U ^{2}}	1802	2768
{1} over {V ^{2}}	1877	2768
{1} over {W ^{2}}	2102	2768
{1} over {X ^{2}}	1802	2768
{1} over {Y ^{2}}	1802	2768
{1} over {Z ^{2}}	1652	2768
sqrt {a}	1334	1281
sqrt {b}	1267	1281
sqrt {c}	1267	1281
sqrt {d}	1402	1281
sqrt {e}	1267	1281
sqrt {f}	1402	1281
sqrt {g}	1267	1281
sqrt {h}	1334	1281
sqrt {i}	1199	1281
sqrt {j}	1267	1281
sqrt {k}	1334	1281
sqrt {l}	1132	1281
sqrt {m}	1604	1281
sqrt {n}	1402	1281
sqrt {o}	1267	1281
sqrt {p}	1334	1281
sqrt {q}	1267	1281
sqrt {r}	1267	1281
sqrt {s}	1267	1281
sqrt {t}	1199	1281
sqrt {u}	1402	1281
sqrt {v}	1267	1281
sqrt {w}	1537	1281
sqrt {x}	1402	1281
sqrt {y}	1334	1281
sqrt {z}	1267	1281
sqrt {A}	1687	1281
sqrt {B}	1612	1281
sqrt {C}	1537	1281
sqrt {D}	1612	1281
sqrt {E}	1537	1281
sqrt {F}	1537	1281
sqrt {G}	1612	1281
sqrt {H}	1687	1281
sqrt {I}	1237	1281
sqrt {J}	1312	1281
sqrt {K}	1687	1281
sqrt {L}	1537	1281
sqrt {M}	1837	1281
sqrt {N}	1687	1281
sqrt {O}	1612	1281
sqrt {P}	1537	1281
sqrt {Q}	1612	1281
sqrt {R}	1612	1281
sqrt {S}	1462	1281
sqrt {T}	1687	1281
sqrt {U}	1612	1281
sqrt {V}	1687	1281
sqrt {W}	1912	1281
sqrt {X}	1612	1281
sqrt {Y}	1612	1281
sqrt {Z}	1462	1281
sqrt {0}	1334	1281
sqrt {1}	1334	1281
sqrt {2}	1334	1281
sqrt {3}	1334	1281
sqrt {4}	1334	1281
sqrt {5}	1334	1281
sqrt {6}	1334	1281
sqrt {7}	1334	1281
sqrt {8}	1334	1281
sqrt {9}	1334	1281
sqrt {+a}	2230	1281
sqrt {+b}	2163	1281
sqrt {+c}	2163	1281
sqrt {+d}	2298	1281
sqrt {+e}	2163	1281
sqrt {+f}	2298	1281
sqrt {+g}	2163	1281
sqrt {+h}	2230	1281
sqrt {+i}	2095	1281
sqrt {+j}	2163	1281
sqrt {+k}	2230	1281
sqrt {+l}	2028	1281
sqrt {+m}	2500	1281
sqrt {+n}	2298	1281
sqrt {+o}	2163	1281
sqrt {+p}	2230	1281
sqrt {+q}	2163	1281
sqrt {+r}	2163	1281
sqrt {+s}	2163	1281
sqrt {+t}	2095	1281
sqrt {+u}	2298	1281
sqrt {+v}	2163	1281
sqrt {+w}	2433	1281
sqrt {+x}	2298	1281
sqrt {+y}	2230	1281
sqrt {+z}	2163	1281
sqrt {+A}	2583	1281
sqrt {+B}	2508	1281
sqrt {+C}	2433	1281
sqrt {+D}	2508	1281
sqrt {+E}	2433	1281
sqrt {+F}	2433	1281
sqrt {+G}	2508	1281
sqrt {+H}	2583	1281
sqrt {+I}	2133	1281
sqrt {+J}	2208	1281
sqrt {+K}	2583	1281
sqrt {+L}	2433	1281
sqrt {+M}	2733	1281
sqrt {+N}	2583	1281
sqrt {+O}	2508	1281
sqrt {+P}	2433	1281
sqrt {+Q}	2508	1281
sqrt {+R}	2508	1281
sqrt {+S}	2358	1281
sqrt {+T}	2583	1281
sqrt {+U}	2508	1281
sqrt {+V}	2583	1281
sqrt {+W}	2808	1281
sqrt {+X}	2508	1281
sqrt {+Y}	2508	1281
sqrt {+Z}	2358	1281
sqrt {+0}	2230	1281
sqrt {+1}	2230	1281
sqrt {+2}	2230	1281
sqrt {+3}	2230	1281
sqrt {+4}	2230	1281
sqrt {+5}	2230	1281
sqrt {+6}	2230	1281
sqrt {+7}	2230	1281
sqrt {+8}	2230	1281
sqrt {+9}	2230	1281
sqrt {-a}	2230	1281
sqrt {-b}	2163	1281
sqrt {-c}	2163	1281
sqrt {-d}	2298	1281
sqrt {-e}	2163	1281
sqrt {-f}	2298	1281
sqrt {-g}	2163	1281
sqrt {-h}	2230	1281
sqrt {-i}	2095	1281
sqrt {-j}	2163	1281
sqrt {-k}	2230	1281
sqrt {-l}	2028	1281
sqrt {-m}	2500	1281
sqrt {-n}	2298	1281
sqrt {-o}	2163	1281
sqrt {-p}	2230	1281
sqrt {-q}	2163	1281
sqrt {-r}	2163	1281
sqrt {-s}	2163	1281
sqrt {-t}	2095	1281
sqrt {-u}	2298	1281
sqrt {-v}	2163	1281
sqrt {-w}	2433	1281
sqrt {-x}	2298	1281
sqrt {-y}	2230	1281
sqrt {-z}	2163	1281
sqrt {-A}	2583	1281
sqrt {-B}	2508	1281
sqrt {-C}	2433	1281
sqrt {-D}	2508	1281
sqrt {-E}	2433	1281
sqrt {-F}	2433	1281
sqrt {-G}	2508	1281
sqrt {-H}	2583	1281
sqrt {-I}	2133	1281
sqrt {-J}	2208	1281
sqrt {-K}	2583	1281
sqrt {-L}	2433	1281
sqrt {-M}	2733	1281
sqrt {-N}	2583	1281
sqrt {-O}	2508	1281
sqrt {-P}	2433	1281
sqrt {-Q}	2508	1281
sqrt {-R}	2508	1281
sqrt {-S}	2358	1281
sqrt {-T}	2583	1281
sqrt {-U}	2508	1281
sqrt {-V}	2583	1281
sqrt {-W}	2808	1281
sqrt {-X}	2508	1281
sqrt {-Y}	2508	1281
sqrt {-Z}	2358	1281
sqrt {-0}	2230	1281
sqrt {-1}	2230	1281
sqrt {-2}	2230	1281
sqrt {-3}	2230	1281
sqrt {-4}	2230	1281
sqrt {-5}	2230	1281
sqrt {-6}	2230	1281
sqrt {-7}	2230	1281
sqrt {-8}	2230	1281
sqrt {-9}	2230	1281
